,taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,num_letters,num_words,cdfOccurences
0,2727217,Carex eburnea Boott,2727217,Carex eburnea Boott,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893.0,Carex eburnea,2727217.0,NE,,,0.4675790676997333
1,2768817,Asparagus tenuifolius Lam.,2768817,Asparagus tenuifolius Lam.,36,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Asparagus,9527393.0,Asparagus tenuifolius,2768817.0,LC,,,0.8071573733011559
2,2870862,Philodendron giganteum Schott,2870862,Philodendron giganteum Schott,8,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Alismatales,551,Araceae,6979,Philodendron,2861312.0,Philodendron giganteum,2870862.0,NE,,,0.6499428426266989
3,2874569,Cucumis sativus L.,2874569,Cucumis sativus L.,75,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Cucurbitales,7224005,Cucurbitaceae,6634,Cucumis,2874568.0,Cucumis sativus,2874569.0,NE,,,0.8614251238409755
4,2884705,Pouteria melanopoda Eyma,2884705,Pouteria melanopoda Eyma,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Sapotaceae,8802,Pouteria,2884049.0,Pouteria melanopoda,2884705.0,LC,,,0.4675790676997333
5,2888292,Pyrola media Sw.,2888292,Pyrola media Sw.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Ericaceae,2505,Pyrola,2888249.0,Pyrola media,2888292.0,NE,,,0.14984758033786358
6,2898841,Palicourea rigida Kunth,2898841,Palicourea rigida Kunth,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Rubiaceae,8798,Palicourea,2898662.0,Palicourea rigida,2898841.0,NE,,,0.14984758033786358
7,2925349,Clerodendrum indicum (L.) Kuntze,2925349,Clerodendrum indicum (L.) Kuntze,18,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Clerodendrum,2925347.0,Clerodendrum indicum,2925349.0,NE,,,0.7449510986917313
8,2984476,Cecropia peltata L.,2984476,Cecropia peltata L.,9,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Urticaceae,6639,Cecropia,2984472.0,Cecropia peltata,2984476.0,LC,,,0.6655023498031246
9,3015389,Crataegus uniflora Münchh.,3015389,Crataegus uniflora Münchh.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Crataegus,3013395.0,Crataegus uniflora,3015389.0,NE,,,0.14984758033786358
10,3032869,Saxifraga cernua L.,3032869,Saxifraga cernua L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Saxifragales,7219248,Saxifragaceae,2402,Saxifraga,2987833.0,Saxifraga cernua,3032869.0,NE,,,0.14984758033786358
11,3036033,Hedera colchica (K.Koch) K.Koch,3036033,Hedera colchica (K.Koch) K.Koch,255,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Araliaceae,8800,Hedera,3036021.0,Hedera colchica,3036033.0,NE,,,0.9255366442271052
12,3083298,Eschweilera parviflora (Aubl.) Miers,3083298,Eschweilera parviflora (Aubl.) Miers,135,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Lecythidaceae,3990,Eschweilera,3083183.0,Eschweilera parviflora,3083298.0,LC,,,0.8949256954147085
13,3096880,Ptilostemon casabonae (L.) Greuter,3096880,Ptilostemon casabonae (L.) Greuter,13,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Ptilostemon,3096839.0,Ptilostemon casabonae,3096880.0,NE,,,0.7096722977264067
14,3126654,Pascalia glauca Ortega,3126654,Pascalia glauca Ortega,4,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Pascalia,3126653.0,Pascalia glauca,3126654.0,NE,,,0.530928489775181
15,3169707,Vinca minor L.,3169707,Vinca minor L.,3831,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Apocynaceae,6701,Vinca,3169706.0,Vinca minor,3169707.0,NE,4244.0,616.0,0.9956179347135781
16,3183521,Syzygium wilsonii (F.Muell.) B.Hyland,3183521,Syzygium wilsonii (F.Muell.) B.Hyland,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Myrtales,690,Myrtaceae,5014,Syzygium,3029010.0,Syzygium wilsonii,3183521.0,NE,,,0.3643465006985901
17,3190638,Mangifera indica L.,3190638,Mangifera indica L.,216,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Sapindales,933,Anacardiaceae,2398,Mangifera,3075453.0,Mangifera indica,3190638.0,DD,,,0.9187095135272451
18,3191157,Drosera intermedia Hayne,3191157,Drosera intermedia Hayne,56,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Droseraceae,5399,Drosera,3190721.0,Drosera intermedia,3191157.0,NE,,,0.8399276006604852
19,3658817,Corynocarpus dissimilis Hemsl.,3658817,Corynocarpus dissimilis Hemsl.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Cucurbitales,7224005,Corynocarpaceae,2515,Corynocarpus,3169082.0,Corynocarpus dissimilis,3658817.0,LC,,,0.14984758033786358
20,3890954,Oxera microcalyx Guillaumin,3890954,Oxera microcalyx Guillaumin,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Oxera,7307697.0,Oxera microcalyx,3890954.0,EN,,,0.14984758033786358
21,4010716,Dracophyllum longifolium (J.R.Forst. & G.Forst.) R.Br. ex Roem. & Schult.,8250869,Dracophyllum longifolium (J.R. & G.Forst.) R.Br.,1,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Ericaceae,2505,Dracophyllum,7288478.0,Dracophyllum longifolium,8250869.0,LC,,,0.14984758033786358
22,4063296,Bourreria costaricensis (Standl.) A.H.Gentry,4063296,Bourreria costaricensis (Standl.) A.H.Gentry,9,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Boraginales,7226464,Ehretiaceae,4923856,Bourreria,2926097.0,Bourreria costaricensis,4063296.0,LC,,,0.6655023498031246
23,4178294,Ocotea morae Gómez-Laur.,11077015,Mespilodaphne morae (Gómez-Laur.) Trofimov,1,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Laurales,407,Lauraceae,6688,Mespilodaphne,7304101.0,Mespilodaphne morae,11077015.0,EN,,,0.14984758033786358
24,4178429,Ocotea mollicella (Blake) van der Werff,4178429,Ocotea mollicella (Blake) van der Werff,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Laurales,407,Lauraceae,6688,Ocotea,3034076.0,Ocotea mollicella,4178429.0,NT,,,0.14984758033786358
25,4182444,Litsea monopetala (Roxb. ex Baker) Pers.,4182444,Litsea monopetala (Roxb. ex Baker) Pers.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Laurales,407,Lauraceae,6688,Litsea,3033976.0,Litsea monopetala,4182444.0,LC,,,0.14984758033786358
26,5287095,Paepalanthus pilosus (Kunth) Kunth,5287095,Paepalanthus pilosus (Kunth) Kunth,10,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Eriocaulaceae,3741,Paepalanthus,8424714.0,Paepalanthus pilosus,5287095.0,NE,,,0.6791566112028452
27,5319049,Epipactis leptochila (Godfery) Godfery,5319049,Epipactis leptochila (Godfery) Godfery,24,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Orchidaceae,7689,Epipactis,8254469.0,Epipactis leptochila,5319049.0,LC,,,0.7737520640162581
28,5339445,Randia armata (Sw.) DC.,5339445,Randia armata (Sw.) DC.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Rubiaceae,8798,Randia,2911655.0,Randia armata,5339445.0,LC,,,0.3643465006985901
29,5349775,Erythrina berteroana Urb.,5349775,Erythrina berteroana Urb.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Erythrina,2945830.0,Erythrina berteroana,5349775.0,LC,,,0.14984758033786358
30,5372457,Paliurus spina-christi Mill.,5372457,Paliurus spina-christi Mill.,480,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rhamnaceae,2407,Paliurus,3039502.0,Paliurus spina-christi,5372457.0,NE,1554.0,244.0,0.9500508065540455
31,5381327,Phyllanthus casticum P.Willemet,5381327,Phyllanthus casticum P.Willemet,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Phyllanthaceae,8807,Phyllanthus,3061139.0,Phyllanthus casticum,5381327.0,LC,,,0.4675790676997333
32,5385067,Gutierrezia sarothrae (Pursh) Britton & Rusby,5385067,Gutierrezia sarothrae (Pursh) Britton & Rusby,6,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Gutierrezia,3086909.0,Gutierrezia sarothrae,5385067.0,NE,,,0.6059634192810872
33,5391595,Chamaemelum fuscatum (Gren. & Godr.) Vasc.,5391595,Chamaemelum fuscatum (Gren. & Godr.) Vasc.,4,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Chamaemelum,8424370.0,Chamaemelum fuscatum,5391595.0,NE,,,0.530928489775181
34,5394195,Taraxacum croceiflorum Dahlst.,5394195,Taraxacum croceiflorum Dahlst.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Taraxacum,7787708.0,Taraxacum croceiflorum,5394195.0,NE,,,0.3643465006985901
35,5406789,Alcea rosea L.,5406789,Alcea rosea L.,1418,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Malvaceae,6685,Alcea,5406788.0,Alcea rosea,5406789.0,NE,2127.0,332.0,0.9804712307887717
36,5421111,Littorella uniflora (L.) Asch.,5421111,Littorella uniflora (L.) Asch.,12,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Littorella,3189795.0,Littorella uniflora,5421111.0,LC,,,0.7003683475168296
37,5566353,Jamesonia cinnamomea Kunze,5566353,Jamesonia cinnamomea Kunze,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Polypodiopsida,7228684,Polypodiales,392,Pteridaceae,2367,Jamesonia,3229436.0,Jamesonia cinnamomea,5566353.0,NE,,,0.14984758033786358
38,5568420,Dysphania chilensis (Schrad.) Mosyakin & Clemants,5568420,Dysphania chilensis (Schrad.) Mosyakin & Clemants,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Amaranthaceae,3064,Dysphania,3083582.0,Dysphania chilensis,5568420.0,NE,,,0.14984758033786358
39,5569844,Ficus pedunculosa Miq.,5569844,Ficus pedunculosa Miq.,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Moraceae,6640,Ficus,2984588.0,Ficus pedunculosa,5569844.0,NE,,,0.4675790676997333
40,5602456,Boscia mossambicensis Klotzsch,5602456,Boscia mossambicensis Klotzsch,10,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Capparaceae,3111,Boscia,3054237.0,Boscia mossambicensis,5602456.0,LC,,,0.6791566112028452
41,5616499,Adonis distorta Ten.,5616499,Adonis distorta Ten.,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ranunculales,399,Ranunculaceae,2410,Adonis,3033821.0,Adonis distorta,5616499.0,DD,,,0.5736377492696558
42,5662350,Cordia eriostigma Pittier,5662350,Cordia eriostigma Pittier,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Boraginales,7226464,Cordiaceae,4930453,Cordia,2900865.0,Cordia eriostigma,5662350.0,LC,,,0.14984758033786358
43,5671137,Urtica massaica Mildbr.,5671137,Urtica massaica Mildbr.,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Urticaceae,6639,Urtica,2984391.0,Urtica massaica,5671137.0,NE,,,0.5736377492696558
44,5685422,Nectandra belizensis (Lundell) C.K.Allen,5685422,Nectandra belizensis (Lundell) C.K.Allen,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Laurales,407,Lauraceae,6688,Nectandra,3034018.0,Nectandra belizensis,5685422.0,VU,,,0.14984758033786358
45,7264825,Allophylus petiolulatus Radlk.,7264825,Allophylus petiolulatus Radlk.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Sapindales,933,Sapindaceae,6657,Allophylus,3189992.0,Allophylus petiolulatus,7264825.0,NE,,,0.14984758033786358
46,7296797,Blechnum hastatum Kaulf.,7296797,Blechnum hastatum Kaulf.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Polypodiopsida,7228684,Polypodiales,392,Blechnaceae,2374,Blechnum,2651523.0,Blechnum hastatum,7296797.0,NE,,,0.14984758033786358
47,7459416,Telephium imperati L.,7459416,Telephium imperati L.,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Telephium,3231761.0,Telephium imperati,7459416.0,NE,,,0.5736377492696558
48,7845022,Gymnadenia conopsea (L.) R.Br.,7845022,Gymnadenia conopsea (L.) R.Br.,1102,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Orchidaceae,7689,Gymnadenia,7771219.0,Gymnadenia conopsea,7845022.0,NE,4308.0,669.0,0.974056903340531
49,7847528,Carduus carlinoides Gouan,7847528,Carduus carlinoides Gouan,38,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Carduus,3114511.0,Carduus carlinoides,7847528.0,NE,,,0.8119522418391972
50,7979021,Gypsophila struthium Loefl.,7979021,Gypsophila struthium Loefl.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Gypsophila,3085251.0,Gypsophila struthium,7979021.0,NE,,,0.3643465006985901
51,8102092,Artemisia glacialis L.,8102092,Artemisia glacialis L.,21,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Artemisia,3120641.0,Artemisia glacialis,8102092.0,NE,,,0.7606693763495491
52,8419625,Silene scabriflora Brot.,8419625,Silene scabriflora Brot.,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Silene,3085897.0,Silene scabriflora,8419625.0,NT,,,0.4675790676997333
53,2750778,Calochortus apiculatus Baker,2750778,Calochortus apiculatus Baker,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Liliales,1172,Liliaceae,7699,Calochortus,2750667.0,Calochortus apiculatus,2750778.0,NE,,,0.3643465006985901
54,2769796,Furcraea foetida (L.) Haw.,2769796,Furcraea foetida (L.) Haw.,9,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Furcraea,2766202.0,Furcraea foetida,2769796.0,NE,,,0.6655023498031246
55,2874717,Begonia cucullata Willd.,2874717,Begonia cucullata Willd.,46,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Cucurbitales,7224005,Begoniaceae,6638,Begonia,2874710.0,Begonia cucullata,2874717.0,NE,,,0.8253524704686904
56,2979186,Acacia doratoxylon A.Cunn.,2979186,Acacia doratoxylon A.Cunn.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Acacia,2978223.0,Acacia doratoxylon,2979186.0,LC,,,0.3643465006985901
57,2982349,Calliandra dysantha Benth.,2982349,Calliandra dysantha Benth.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Calliandra,2981784.0,Calliandra dysantha,2982349.0,NE,,,0.14984758033786358
58,3033327,Ranunculus cordiger Viv.,12238132,Ranunculus cordigerus subsp. cordigerus,2,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ranunculales,399,Ranunculaceae,2410,Ranunculus,3033294.0,Ranunculus cordigerus,3920849.0,NE,,,0.3643465006985901
59,3033532,Clematis orientalis L.,3033532,Clematis orientalis L.,4,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ranunculales,399,Ranunculaceae,2410,Clematis,3033512.0,Clematis orientalis,3033532.0,NE,,,0.530928489775181
