id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1668617,[],Rubus campaniensis,Winkel ex A.Beek,2988903.0,1000028-1,
1669188,[],Rubus mus,A.Beek,2988876.0,1000030-1,
1669353,[],Rubus praticolor,A.Beek,2988867.0,1000031-1,
1402259,['Jau-Jau'],Miconia serrulata,(DC.) Naudin,3188588.0,1000103-2,LC
1417952,['Chinese hollygrape'],Berberis oiwakensis,(Hayata) Laferr.,3980964.0,1000126-1,
1607303,[],Syzygium ngadimanianum,(M.R.Hend.) I.M.Turner,3184057.0,1000206-1,
1607369,[],Syzygium pauper,(Ridl.) I.M.Turner,3183715.0,1000213-1,
1607373,[],Syzygium pendens,(Duthie) I.M.Turner,3183553.0,1000215-1,
1607567,[],Syzygium subdecussatum,(Duthie) I.M.Turner,3183356.0,1000239-1,
1731767,['Southern star'],Oxypetalum coeruleum,(D.Don ex Sweet) Decne.,3572841.0,100033-1,
1476038,[],Epimedium rhizomatosum,Stearn,3981985.0,1000387-1,
1610388,[],Acianthera pantasmi,(Rchb.f.) Pridgeon & M.W.Chase,2839819.0,1000431-2,
1610410,[],Acianthera recurva,(Lindl.) Pridgeon & M.W.Chase,2839869.0,1000531-2,
1462174,[],Oxypetalum foliosum,Mart.,3572373.0,100055-1,
1632183,[],Pterostylis splendens,D.L.Jones & M.A.Clem.,2847558.0,1000650-1,LC
1509319,"['Confederate daisy', ""Porter's sunflower""]",Helianthus porteri,(A.Gray) Pruski,3119169.0,1000702-1,
1398322,[],Aurinia sinuata,(L.) Griseb.,5377794.0,1000728-2,
1546272,[],Euphorbia waringiae,Rauh & Gerold,3065720.0,1000775-1,VU
1410160,"['Umbrella Indian mallow', 'Cowitch']",Pseudabutilon umbellatum,(L.) Fryxell,3152650.0,1000837-1,
1595307,[],Pseudabutilon virgatum,(Cav.) Fryxell,3934724.0,1000838-1,
1397726,['Bastard Agrimony'],Aremonia agrimonoides,(L.) DC.,2988624.0,1000915-2,
1464858,"['ముత్యాల కడ్డి', 'Pearl Stick (ముత్యాల కడ్డి)', 'Pearl stick']",Anthurium obtusum,(Engl.) Grayum,2873359.0,1001003-1,
1466740,[],Spathiphyllum montanum,(R.A.Baker) Grayum,2869685.0,1001011-1,
1490546,[],Solenopsis corsica,"(Meikle) M.B.Crespo, Serra & Juan",5413151.0,1001081-1,
1487995,[],Pilosocereus azulensis,N.P.Taylor & Zappi,3959873.0,1001149-1,CR
1488048,[],Praecereus euchlorus,(F.A.C.Weber ex K.Schum.) N.P.Taylor,7283892.0,1001185-1,LC
1631737,[],Prosthechea abbreviata,(Schltr.) W.E.Higgins,2794127.0,1001226-1,
1400401,[],Prosthechea aemula,(Lindl.) W.E.Higgins,2794015.0,1001227-1,
1631752,[],Prosthechea brassavolae,(Rchb.f.) W.E.Higgins,2794442.0,1001237-1,
1631754,[],Prosthechea bulbosa,(Vell.) W.E.Higgins,2794368.0,1001238-1,
1631760,[],Prosthechea chacaoensis,(Rchb.f.) W.E.Higgins,2794103.0,1001243-1,
1631765,"['Clamshell orchid', 'Black Orchid (Belize)']",Prosthechea cochleata,(L.) W.E.Higgins,2794350.0,1001247-1,
1423670,['Sugandha Orchid'],Prosthechea fragrans,(Sw.) W.E.Higgins,2794328.0,1001253-1,
1631777,[],Prosthechea garciana,(Garay & Dunst.) W.E.Higgins,2794219.0,1001254-1,
1631795,[],Prosthechea livida,(Lindl.) W.E.Higgins,2794157.0,1001272-1,
1631808,[],Prosthechea ochracea,(Lindl.) W.E.Higgins,2794232.0,1001280-1,
1631816,[],Prosthechea prismatocarpa,(Rchb.f.) W.E.Higgins,2794304.0,1001287-1,
1631817,[],Prosthechea pseudopygmaea,(Finet) W.E.Higgins,2794087.0,1001288-1,
1631821,['Dwarf butterfly orchid'],Prosthechea pygmaea,(Hook.) W.E.Higgins,2794075.0,1001292-1,
1631823,[],Prosthechea radiata,(Lindl.) W.E.Higgins,2793961.0,1001294-1,
1557496,['Western blue-eyed grass'],Sisyrinchium bellum,S.Watson,5296053.0,1001300-2,
1631837,[],Prosthechea spondiada,(Rchb.f.) W.E.Higgins,2793994.0,1001304-1,
1400871,[],Prosthechea vespa,(Vell.) W.E.Higgins,2794024.0,1001313-1,
1631850,[],Prosthechea vitellina,(Lindl.) W.E.Higgins,2794494.0,1001314-1,
1408031,[],Allophylus borbonicus,(J.F.Gmel.) F.Friedmann,5577915.0,1001499-1,
1418846,[],Neoshirakia japonica,(Siebold & Zucc.) Esser,3070784.0,1001568-1,LC
1408803,[],Turraea rutilans,(Sm.) Bosser,3852562.0,1001593-1,
1462241,"[""Riyaz's star""]",Oxypetalum solanoides,Hook. & Arn.,3582403.0,100162-1,
1559637,[],Gmelina evoluta,(Däniker) Mabb.,5607691.0,1001665-1,
1364373,[],Aerangis bouarensis,Chiron,2836953.0,1001855-1,
1545423,[],Euphorbia jenisseiensis,Baikov,3067115.0,1001874-1,
1377996,[],Dombeya kefaensis,Friis & Bidgood,7428365.0,1001910-1,VU
1682159,[],Angostura granulosa,(Kallunki) Kallunki,3836810.0,1001917-1,LC
