taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,num_letters,num_words
2727217,Carex eburnea Boott,2727217,Carex eburnea Boott,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893.0,Carex eburnea,2727217.0,NE,,
2768817,Asparagus tenuifolius Lam.,2768817,Asparagus tenuifolius Lam.,36,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Asparagus,9527393.0,Asparagus tenuifolius,2768817.0,LC,,
2870862,Philodendron giganteum Schott,2870862,Philodendron giganteum Schott,8,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Alismatales,551,Araceae,6979,Philodendron,2861312.0,Philodendron giganteum,2870862.0,NE,,
2874569,Cucumis sativus L.,2874569,Cucumis sativus L.,75,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Cucurbitales,7224005,Cucurbitaceae,6634,Cucumis,2874568.0,Cucumis sativus,2874569.0,NE,,
2884705,Pouteria melanopoda Eyma,2884705,Pouteria melanopoda Eyma,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Sapotaceae,8802,Pouteria,2884049.0,Pouteria melanopoda,2884705.0,LC,,
2888292,Pyrola media Sw.,2888292,Pyrola media Sw.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Ericaceae,2505,Pyrola,2888249.0,Pyrola media,2888292.0,NE,,
2898841,Palicourea rigida Kunth,2898841,Palicourea rigida Kunth,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Rubiaceae,8798,Palicourea,2898662.0,Palicourea rigida,2898841.0,NE,,
2925349,Clerodendrum indicum (L.) Kuntze,2925349,Clerodendrum indicum (L.) Kuntze,18,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Clerodendrum,2925347.0,Clerodendrum indicum,2925349.0,NE,,
2984476,Cecropia peltata L.,2984476,Cecropia peltata L.,9,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Urticaceae,6639,Cecropia,2984472.0,Cecropia peltata,2984476.0,LC,,
3015389,Crataegus uniflora Münchh.,3015389,Crataegus uniflora Münchh.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Crataegus,3013395.0,Crataegus uniflora,3015389.0,NE,,
3032869,Saxifraga cernua L.,3032869,Saxifraga cernua L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Saxifragales,7219248,Saxifragaceae,2402,Saxifraga,2987833.0,Saxifraga cernua,3032869.0,NE,,
3036033,Hedera colchica (K.Koch) K.Koch,3036033,Hedera colchica (K.Koch) K.Koch,255,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Araliaceae,8800,Hedera,3036021.0,Hedera colchica,3036033.0,NE,,
3083298,Eschweilera parviflora (Aubl.) Miers,3083298,Eschweilera parviflora (Aubl.) Miers,135,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Lecythidaceae,3990,Eschweilera,3083183.0,Eschweilera parviflora,3083298.0,LC,,
3096880,Ptilostemon casabonae (L.) Greuter,3096880,Ptilostemon casabonae (L.) Greuter,13,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Ptilostemon,3096839.0,Ptilostemon casabonae,3096880.0,NE,,
3126654,Pascalia glauca Ortega,3126654,Pascalia glauca Ortega,4,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Pascalia,3126653.0,Pascalia glauca,3126654.0,NE,,
3169707,Vinca minor L.,3169707,Vinca minor L.,3831,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Apocynaceae,6701,Vinca,3169706.0,Vinca minor,3169707.0,NE,4244,616
3183521,Syzygium wilsonii (F.Muell.) B.Hyland,3183521,Syzygium wilsonii (F.Muell.) B.Hyland,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Myrtales,690,Myrtaceae,5014,Syzygium,3029010.0,Syzygium wilsonii,3183521.0,NE,,
3190638,Mangifera indica L.,3190638,Mangifera indica L.,216,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Sapindales,933,Anacardiaceae,2398,Mangifera,3075453.0,Mangifera indica,3190638.0,DD,,
3191157,Drosera intermedia Hayne,3191157,Drosera intermedia Hayne,56,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Droseraceae,5399,Drosera,3190721.0,Drosera intermedia,3191157.0,NE,,
3658817,Corynocarpus dissimilis Hemsl.,3658817,Corynocarpus dissimilis Hemsl.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Cucurbitales,7224005,Corynocarpaceae,2515,Corynocarpus,3169082.0,Corynocarpus dissimilis,3658817.0,LC,,
3890954,Oxera microcalyx Guillaumin,3890954,Oxera microcalyx Guillaumin,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Oxera,7307697.0,Oxera microcalyx,3890954.0,EN,,
4010716,Dracophyllum longifolium (J.R.Forst. & G.Forst.) R.Br. ex Roem. & Schult.,8250869,Dracophyllum longifolium (J.R. & G.Forst.) R.Br.,1,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Ericaceae,2505,Dracophyllum,7288478.0,Dracophyllum longifolium,8250869.0,LC,,
